principal,tenure_months,interest_rate,emi_amount,annual_income,employment_years,age_years,credit_score,num_credit_lines,num_delinquencies,debt_to_income,credit_history_months,credit_utilisation,is_ntc,loan_to_income,emi_to_income_monthly,prior_loan_count,prior_default_count,prior_principal_sum,employment_status,purpose,default_flag
3240000.0,24.0,0.2095,166410.0,739500.0,19.0,32.0,560.0,11.0,3.0,0.46,75.0,0.71,0.0,4.381338742393509,2.700365111561866,0.0,0.0,0.0,salaried,home,0
4740000.0,36.0,0.126,158798.0,1113500.0,16.0,47.0,450.0,20.0,5.0,0.56,199.0,0.78,0.0,4.256847777278851,1.7113390211046249,0.0,0.0,0.0,self_employed,business,0
4850000.0,24.0,0.1786,241804.0,1113500.0,16.0,47.0,450.0,20.0,5.0,0.56,204.0,0.78,0.0,4.355635383924562,2.6058805568028736,1.0,0.0,4740000.0,self_employed,auto,0
880000.0,36.0,0.2088,33100.0,943500.0,24.0,44.0,,,,,,,1.0,0.9326974032856385,0.42098569157392685,0.0,0.0,0.0,self_employed,home,0
3769943.0,36.0,0.213,142614.0,1110000.0,25.0,45.0,,,,,,,1.0,3.396345045045045,1.541772972972973,1.0,0.0,880000.0,self_employed,personal,0
3240000.0,12.0,0.1659,294873.0,790000.0,12.0,26.0,710.0,3.0,3.0,0.25,-6.0,0.89,0.0,4.10126582278481,4.479083544303798,0.0,0.0,0.0,self_employed,home,0
2920000.0,24.0,0.2038,149158.0,790000.0,12.0,27.0,710.0,3.0,3.0,0.25,7.0,0.89,0.0,3.6962025316455698,2.2656911392405066,1.0,0.0,3240000.0,self_employed,business,0
2079980.0,12.0,0.1005,182912.0,790000.0,12.0,27.0,710.0,3.0,3.0,0.25,8.0,0.89,0.0,2.6328860759493673,2.7784101265822785,2.0,0.0,6160000.0,self_employed,auto,0
4680000.0,12.0,0.1974,432947.0,790000.0,12.0,28.0,710.0,3.0,3.0,0.25,15.0,0.89,0.0,5.924050632911392,6.576410126582279,3.0,0.0,8239980.0,self_employed,personal,0
2320000.0,12.0,0.1165,205750.0,930000.0,17.0,52.0,,,,,,,1.0,2.4946236559139785,2.6548387096774193,0.0,0.0,0.0,self_employed,business,0
